question.,text.
Who else appeared with Beyonce in Telephone?,Lady Gaga
Who did they tie with for six top songs?,Mariah Carey
Who did Beyonce tie with for the most nominations in a year?,Lauryn Hill
How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,ten
Who did Beyoncé tie with for the most Grammy nominations for female artists?,Lauryn Hill
"Beyoncé was a featured artist on which singer's hit, Telephone?",Lady Gaga
Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey
Beyonce would take a break from music in which year?,2010
Which year did Beyonce and her father part business ways?,2010
Which famous landmark did Beyonce see in China?,the Great Wall of China
In what year did Beyonce have her hiatus?,2010
Who inspired this hiatus?,her mother
When did she stop using her father as a manager?,During the break
How long did the hiatus last?,nine months
What did Beyoncé announce in January 2010?,a hiatus
Who suggested the hiatus for Beyoncé?,her mother
Who did Beyoncé part ways with during her hiatus?,her father
How long did her hiatus last?,nine months
In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011
Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund
Beyonce became the first female artist to perform solo in 20 years at which stage?,the 2011 Glastonbury Festival
Which organization did Beyonce's spokespeople confirm her donations to?,The Huffington Post
Beyonce was listed in 2011 as the highest paid performer per what?,minute
Hoe did everyone learn that Beyonce performed for Kaddafi?,documents obtained by WikiLeaks
When did this leak happen?,2011
Who did she tell about the donation?,The Huffington Post
Where did Beyonce perform in 2011?,Glastonbury Festival
Who did Beyoncé perform privately for in 2011?,Muammar Gaddafi.
Who released the information about Beyoncé's performance for the Libyan ruler?,WikiLeaks
Which organization did Beyoncé donate her pay for the private performance to?,Clinton Bush Haiti Fund.
Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,Pyramid stage
Beyonce's fourth album debuted in what year?,2011
Which single had the most success from that album?,Love on Top
Beyonce won an award for which activity in 2011?,writing
"in 2011, Beyonce performed for four nights where?",New York's Roseland Ballroom
When was Beyonce's forth album released?,"June 28, 2011"
How many copies did the album sell in its first week?,"310,000 copies"
Who awarded Beyonce and award for writing?,New York Association of Black Journalists
When did she perform at the Roseland ballroom?,2011
What is the name of Beyoncé's fourth studio album?,4
When was 4 released?,"June 28, 2011"
How many copies of 4 sold in the first week?,"310,000"
What magazine did Beyoncé write a story for about her earlier hiatus?,Essence
Where did Beyoncé perform for four nights of standing room only concerts in 2011?,New York's Roseland Ballroom
When did Beyonce have her first child?,"January 7, 2012"
Where did Beyonce give birth to her first child?,Lenox Hill Hospital
Beyonce's first child is named what?,Blue Ivy Carter
Her first appearance performing since giving birth was where?,Revel Atlantic City's Ovation Hall
When did Beyonce have her first child?,"January 7, 2012"
What was the child's name?,Blue Ivy Carter
How long was it after the birth of her child before she performed again?,Five months
How many nights did she perform at Atlantic City?,four nights
When did Beyoncé give birth to a daughter?,"January 7, 2012"
What did Beyoncé name her daughter?,Blue Ivy Carter
Where was Blue Ivy born?,Lenox Hill Hospital in New York.
Where was Beyoncé's first public performance after giving birth?,Revel Atlantic City's Ovation Hall
How many nights did Beyoncé play at the resort?,four
Destiny's Child released a compilation album about which topic?,romance
Beyonce's documentary movie was called what?,Life Is But a Dream
What did Beyonce sign in 2013?,global publishing agreement
"When did Destiny's Child release its album ""Love Songs""?",Jan-13
What was the title of the added track in Love Songs?,Nuclear
At whose inauguration did she perform the National Anthem?,President Obama
How many Tweets per minute did the half time show get?,"268,000 tweets per minute"
When did Destiny's Child release Love Songs?,Jan-13
What was the new track for Love Songs?,Nuclear
What did Beyoncé sing at President Obama's second inauguration?,the American national anthem
What event did Beyoncé perform at one month after Obama's inauguration? ,Super Bowl XLVII halftime show
What is the name of Beyoncé's documentary film?,Life Is But a Dream
"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",132
One of Beyonce's most successful tours yet was which one?,The Mrs. Carter Show
"Beyonce wrote which song for the movie ""Epic""?",Rise Up
Beyonce voiced a character in which animated film?,Epic
When did the tour begin?,Apr-15
Of what event was Beyonce honorary chair?,2013 Met Gala
What part did she voice for the movie Epic?,Queen Tara
What song did Beyonce record for the film Epic?,Rise Up
What was the name of Beyoncé's tour that she started on April 15?,The Mrs. Carter Show World Tour
How many dates did the Mrs. Carter Show World Tour have?,132
Which Amy Winehouse song did Beyoncé cover and release in May 2014?,Back to Black
Beyoncé was an honorary chair of the 2013 what?,Met Gala.
"Which character in the film, Epic, was voiced by Beyoncé?",Queen Tara
Where did Beyonce release her 5th album to a huge surprise?,the iTunes Store
When did Beyonce get her fifth consecutive number one hit album?,"December 13, 2013"
Where was the album released? ,the iTunes Store
Who joined Beyonce on her On The Run Tour?,Jay Z
Who reported Beyonce to e the top earning woman in music?,Forbes
How much more were her earnings that the year before?,more than double her earnings
When did Beyoncé release her fifth studio album?,"December 13, 2013"
How many digital copies of her fifth album did Beyoncé sell in six days?,one million
What song on Beyoncé's fifth studio album featured her husband?,Drunk in Love
What was the name of the tour featuring both Beyoncé and Jay Z?,On the Run Tour.
How many awards did Beyonce take home with her at the 57th Grammy Awards?,three
Which artist beat Beyonce out for Album of the year?,Beck
Which magazine did Beyonce pose on the cover for in August of 2015?,Vogue
Beyonce would perform with who at Superbowl 50?,Coldplay
Beyonce took home how many awards at the 57th Grammy Awards?,three
Beyonce lost to which artist for Album of the year?,Beck
Who did Beyonce perform next to during Superbowl 50?,Coldplay
"If Beyonce won three Grammies in 2015, how many was she nominated for?",six awards
On what magazine was she the cover model?,Vogue
Who would she perform with at Superbowl 50?,Coldplay
With what British band did Beyonce perform on their album?,Coldplay
How many awards was Beyoncé nominated for at the 57th annual Grammys?,six
How many awards did Beyoncé win at the 57th Annual Grammys?,three
Beyoncé lost the Album of the Year award to which entertainer?,Beck
"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Vogue
Who did Beyonce perform with at Super Bowl 50?,Coldplay
"Beyonce released the song ""Formation"" on which online music service?",Tidal
Beyonce's new single released before the super bowl was called what?,Formation
"What day did Beyonce release her single, Formation?","February 6, 2016"
How was the single released?,exclusively
What was the name of the streaming service?,Tidal
What kind of platform was the song released?,music streaming
When did Beyoncé release Formation?,"February 6, 2016"
"Where did Beyoncé exclusively release her single, Formation?",Tidal
"As of April 2014, how many albums have Jay Z and Beyonce sold together?",300 million
Where did Beyonce become pregnant?,Paris
"Beyonce described what as the ""hardest thing she had to endure""?",miscarriage
Who did Beyonce have a relationship with?,Jay Z
When were Beyonce and Jay Z married?,"April 4, 2008"
Together how records have they sold ?,300 million
How did Beyonce deal with the miscarriage of her child?,wrote music
Where was Beyonce when she became pregnant?,Paris
"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",'03 Bonnie & Clyde
When were Beyoncé and Jay Z married?,"April 4, 2008"
How many records combined have Beyoncé and Jay Z sold?,300 million
What did Beyoncé describe as the saddest thing in her life?,miscarriage
Where did Beyoncé get pregnant?,Paris.
Jay Z and Beyonce attended which event together in August of 2011?,MTV Video Music Awards
Beyonce confirmed what after performing one of her songs?,her pregnancy
How many people watched the 2011 MTV Music Awards?,12.4 million
Where did she announce her pregnancy?,2011 MTV Video Music Awards
Why was the broadcast the most-watched in history?,Her appearance
What even was recorded in the Guinness World Records?,most tweets per second
"What was the most searched term in week of Aug 29, 2011?",Beyonce pregnant
What song did she perform at the MTV Awards?,Love on Top
Where did Beyoncé announce her pregnancy?,2011 MTV Video Music Awards
What song did Beyoncé sing prior to announcing her pregnancy?,Love on Top
How many people watched the 2011 MTV Video Music Awards?,12.4 million
"What was the most searched term on Google for the week of August 29, 2011?",Beyonce pregnant
Jay Z has a website called what?,Lifeandtimes.com
Which song by Jay Z talked about the pregnancy struggles?,Glory
What was the name of Beyonce's daughter?,Blue Ivy Carter
At what hospital was the baby delivered?,Lenox Hill Hospital
What was the named of the song  dedicated to the child?,Glory
What does B.I.C. stand for?,Blue Ivy Carter
Who was credited for her cries on the song?,B.I.C.
When did Beyoncé give birth to her daughter?,"January 7, 2012"
What did Beyoncé and Jay Z name their daughter?,Blue Ivy Carter
What song did Jay Z release two days after Blue Ivy was born?,Glory
What is included at the end of Glory?,Blue Ivy's cries
How was Blue Ivy credited on Glory?,B.I.C.
Beyonce and Jay-Z went to a rally for the acquittal of whom?,George Zimmerman
Beyonce sang which song during the 2009 presidential inauguration?,America the Beautiful
How much did Beyonce raise for Obama at the 40/40 Club?,4 million
"What did she endorse on March 26, 2013?",same sex marriage
What did they attend in July 2013?,a rally
What did she sing at the 2009 Presidential Inauguration?,America the Beautiful
What song did Beyoncé perform at the 2009 inauguration of Obama?,America the Beautiful
What song did Beyoncé perform at the first inaugural dance for the Obamas.,At Last
What social media platform did Beyoncé upload a picture of her paper ballot on?,Tumblr
"When did Beyoncé endorse on March 26, 2013?",same sex marriage
Beyonce did an interview with which magazine and was asked about feminism?,Vogue
Beyonce supported which campaign that encourages leadership in girls?,Ban Bossy campaign
Where was Beyonce quoted as saying that she is a modern-day feminist?,Vogue
When did she say the she is a feminist?,Apr-13
What campaign did she contribute to?,Ban Bossy
What song did she release in 2013 in response to a speech?,Flawless
What does Ban Bossy encourage?,leadership in girls
"Beyoncé used words from which Nigerian author in her song, Flawless?",Chimamanda Ngozi Adichie
Which campaign does Beyoncé contribute to that encourages leadership in females?,Ban Bossy
Beyonce signed a letter with who in 2015?,the ONE Campaign
An important UN summit took place when?,Sep-15
The letter Beyonce signed focused on what issue?,women
What had to be set in developing funding?,priorities
When did Beyonce sign a letter for ONE Campaign?,2015
To whom was the letter addressed?,Angela Merkel and Nkosazana Dlamini-Zuma
Who are these women?,head of the G7 in Germany
When will they meet?,Sep-15
Who did Beyoncé sign a letter for in 2015?,the ONE Campaign
Who was the letter addressed to?,Angela Merkel and Nkosazana Dlamini-Zuma
What was Angela Merkel serving as in relation to the letter?,the head of the G7 in Germany
What did the letter want the two recipients to focus on?,women
Beyonce along with Jay Z met with whom's family after their death?,Freddie Gray
Beyonce with Jay Z gave lots of money to bail who out of prison?,protesters
Who's death caused this protest?,Freddie Gray
How much bail money did they spend?,thousands of dollars
Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,Madonna and Celine Dion
Beyonce and Jay Z got a Guinness World record for what in 2009?,highest-earning power couple
Beyonce became the highest-paid black musician in which year?,2014
"Up until May of 2015, how much is Beyonce's total worth?",250 million
"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?",Madonna and Celine Dion
In 2012 who placed Beyonce at 16 in the Celebrity List?,Forbes
When did she and Jay Z become the highest paid black celebrity couple?,2011
How much did she earn in 2014?,115 million
What is Beyonce's net worth in 2015?,250 million
"Who began reporting Beyoncé's annual earnings, starting in 2008?",Forbes
"When did Beyoncé become the highest paid black musician, ever?",April 2014.
Who predicted that Beyoncé would become the highest paid black entertainer?,MTV
When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,2013
Beyonce's range in singing is how many octaves?,four
who talked about Beyonce's tone and timbre as distinctive?,Jody Rosen
"Which critic called Beyonce's voice ""versatile""?",The Daily Mail
Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,hip hop
How many octaves does Beyonce have?,four octaves
What did the Daily Mail say about Beyonce's voice?,versatile
What does Rosen claim influenced Beyonce's style?,hip hop
What do other critics claim?,praise her range and power
How many octaves does Beyoncé's voice span?,four
Why is Beyoncé known as the centerpiece of Destiny's Child?,Her vocal abilities
New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,tart
What does Jody Rosen say influenced Beyoncé's vocal style?,the hip hop era
Music from Beyonce is generally categorized as what genre?,R&B
"Besides R&B, which genres does Beyonce dabble in?","pop, soul and funk"
"Beyonce mostly releases English songs, but what other language did she release songs?",Spanish
Spanish songs Beyonce released were for what?,re-release of B'Day
Beyonce was coached for her Spanish songs by which American?,Rudy Perez
What kind of music does Beyonce do?,R&B
What language does she mainly sing?,English
What other language has she sung?,Spanish
What album did she re-release in Spanish?,B'Day
What style of music does Beyoncé usually perform?,R&B
What language did Beyoncé release several songs in?,Spanish
Who coached Beyoncé for her Spanish recordings?,Rudy Perez.
What album did the Spanish songs come from?,B'Day.
Beyonce does not create which aspect of her music?,beats
An example of a song aimed towards a male audience is what?,Cater 2 U
What theme was Beyonce's early music?,female-empowerment
With Jay Z what were her new themes?,man-tending anthems
What does she get credits for in her music?,co-producing credits
What part of production does she do?,melodies
Beyoncé's early recordings empowered who?,Women
"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",co-producing
"Rather than beats, what two things does Beyoncé usually come up with for producers?",melodies and ideas
Pop Songwriter of the Year award in 2001 was awarded to whom?,Beyoncé
Beyonce received the Pop Songwriter of the Year award at which event?,"American Society of Composers, Authors, and Publishers Pop Music Awards"
Beyonce has the same number of writing credits on number one singles as whom?,Diane Warren
Beyonce joined 2 other women on what list from Billboard magazine in 2011?,Top 20 Hot 100 Songwriters
When did Beyonce become the first African American woman to win Pop songwriter of the year?,2001
What place is she tied for in songwriting credits?,third
Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,Billboard magazine
Where does she place in writing credits  for three number one songs?,third woman
"What did Beyoncé win in 2001, making her the first black woman to do so?",Pop Songwriter of the Year award
Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,"the American Society of Composers, Authors, and Publishers Pop Music Awards."
"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",three
What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,17
To whom did Beyonce credit as her major influence on her music?,Michael Jackson
How old was Beyonce when she went to her first Michael Jackson concert as a kid?,five
Beyonce gave a tribute award to who in 2006?,Michael Jackson
Beyonce cites Mariah Carey to making her want to start doing what?,vocal runs
Who influenced Beyonce?,Michael Jackson
What song by Mariah Carey influenced her?,Vision of Love
Who is Beyoncé's biggest musical influence?,Michael Jackson
What was Beyoncé's first concert?,Michael Jackson
Who does Beyoncé feel is an all-around entertainer?,Diana Ross
"Who does she credit for the inspiration to ""get up there and do what she did""?",Whitney Houston
What song caused Beyoncé to practice runs as a child?,Vision of Love
What themes were influenced by her acting role in Dreamgirls?,feminism and female empowerment
"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Josephine Baker
Who motivated Beyonce to explore other areas of music?,Etta James
What movie influenced Beyonce towards empowerment themes? ,Dreamgirls
How did Etta James influence her?,boldness
Where did she perform wearing Baker's hula skirt?,2006 Fashion Rocks concert
What singer inspired Beyoncé's B'Day album?,Josephine Baker.
What song did Beyoncé sing at a 2006 concert to honor Josephine Baker?,Déjà Vu
"Beyonce has noted which first lady with saying ""She proves you can do it all""?",Michelle Obama
Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,Feb-13
"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",Oprah Winfrey
Who personally influences Beyonce?,Michelle Obama
Hoe does she describe Oprah Winfrey?,a strong woman
How does she describe Jean- Michel Basquiat?,lyrical and raw
How does Madonna influence her?,to take control of her own career
How does she describe Jay Z?,continuing inspiration
"Who inspires Beyoncé because ""she does it all?""",First Lady Michelle Obama
Who does Beyoncé describe as the definition of inspiration?,Oprah Winfrey
Who does Beyoncé describe as lyrical and raw?,Jean-Michel Basquiat
Who inspired Beyoncé to take control of her career?,Madonna
Beyonce had an all-female tour band whose name was what?,Suga Mama
Beyonce had singers in the background known by the name as?,The Mamas
The Mamas members included which 3 musicians?,"Montina Cooper-Donnell, Crystal Collins and Tiffany Moniqué Riddick"
The Mamas first appearance was when?,2006
What band did Beyonce introduce in 2006?,Suga Mama
What song name does the band Suga Mama  and a song on the B'Day album share?,Suga Mama
Where did Suga Mama band make their first appearance?,2006 BET Awards
What band supports Beyonce in her tours?,Suga Mama
What is the name of Beyoncé's female tour band?,Suga Mama
Suga Mama is also a song on which Beyoncé album?,B'Day
What are Beyoncé's backup singers called?,The Mamas
When did The Mamas make their debut?,the 2006 BET Awards
What characteristics has Beyonce received acclaim for?,stage presence and voice
